feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.21501,0,0,0.579655,493,0,0,521
has_defs,0.574037,0,0,0.859885,493,0,0,521
has_enum,0.0730223,0,0,0.410749,493,0,0,521
has_items,0.389452,0,0,0.785029,493,0,0,521
has_oneOf,0.160243,0,0,0.307102,493,0,0,521
has_properties,0.991886,0,0,1,493,0,0,521
has_ref,0.574037,0,0,0.859885,493,0,0,521
has_required,0.709939,0,0,0.877159,493,0,0,521
has_type,1,0,0,1,493,0,0,521
large_enum,0,0,0,0.00191939,493,0,0,521
many_required,0.125761,0,0,0.571977,493,0,0,521
many_properties,0.182556,0,0,0.71785,493,0,0,521
