feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
many_properties,464,550,636,213,816,864,0.779412,0.246528,3.16156,0.532884,0.457594,0.505357,true
has_items,601,413,688,161,1056,624,0.651515,0.258013,2.52513,0.393502,0.592702,0.505357,true
many_required,360,654,505,344,624,1056,0.809295,0.325758,2.48435,0.483537,0.35503,0.505357,true
has_defs,731,283,743,106,1266,414,0.586888,0.256039,2.29218,0.330849,0.720907,0.505357,true
has_ref,731,283,743,106,1266,414,0.586888,0.256039,2.29218,0.330849,0.720907,0.505357,true
has_enum,250,764,356,493,426,1254,0.835681,0.393142,2.12565,0.442539,0.246548,0.505357,true
has_additionalProperties,408,606,512,337,710,970,0.721127,0.347423,2.07565,0.373704,0.402367,0.505357,true
has_required,807,207,752,97,1367,313,0.55011,0.309904,1.7751,0.240206,0.795858,0.505357,true
has_oneOf,239,775,267,582,400,1280,0.6675,0.454688,1.46804,0.212812,0.2357,0.505357,true
has_properties,1010,4,849,0,1676,4,0.506563,0,inf,0.506563,0.996055,0.505357,false
has_type,1014,0,849,0,1680,0,0.505357,0,inf,0.505357,1,0.505357,false
large_enum,1,1013,2,847,2,1678,1,0.504768,1.98111,0.495232,0.000986193,0.505357,false
