feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_properties + has_type,has_properties__AND__has_type,has_properties,has_type,1010,0.996055,1,1.05005e+06,0,0,0,0,inf,0.506563,0.991886,0,0,1,493,0,0,521
[P] has_items + has_properties,has_items__AND__has_properties,has_items,has_properties,601,0.592702,1,1.00256e+06,0,0,0,0,2.52513,0.393502,0.389452,0,0,0.785029,493,0,0,521
[P] has_items + has_type,has_items__AND__has_type,has_items,has_type,601,0.592702,1,1.00256e+06,0,0,0,0,2.52513,0.393502,0.389452,0,0,0.785029,493,0,0,521
[P] has_defs + has_items,has_defs__AND__has_items,has_defs,has_items,539,0.531558,1,1.00251e+06,0,0,0,0,2.46767,0.403964,0.31643,0,0,0.735125,493,0,0,521
[P] has_items + has_ref,has_items__AND__has_ref,has_items,has_ref,539,0.531558,1,1.00251e+06,0,0,0,0,2.46767,0.403964,0.31643,0,0,0.735125,493,0,0,521
[P] has_defs + has_properties,has_defs__AND__has_properties,has_defs,has_properties,731,0.720907,1,1.00233e+06,0,0,0,0,2.29218,0.330849,0.574037,0,0,0.859885,493,0,0,521
[P] has_defs + has_ref,has_defs__AND__has_ref,has_defs,has_ref,731,0.720907,1,1.00233e+06,0,0,0,0,2.29218,0.330849,0.574037,0,0,0.859885,493,0,0,521
[P] has_defs + has_type,has_defs__AND__has_type,has_defs,has_type,731,0.720907,1,1.00233e+06,0,0,0,0,2.29218,0.330849,0.574037,0,0,0.859885,493,0,0,521
[P] has_properties + has_ref,has_properties__AND__has_ref,has_properties,has_ref,731,0.720907,1,1.00233e+06,0,0,0,0,2.29218,0.330849,0.574037,0,0,0.859885,493,0,0,521
[P] has_ref + has_type,has_ref__AND__has_type,has_ref,has_type,731,0.720907,1,1.00233e+06,0,0,0,0,2.29218,0.330849,0.574037,0,0,0.859885,493,0,0,521
[P] has_additionalProperties + has_items,has_additionalProperties__AND__has_items,has_additionalProperties,has_items,385,0.379684,1,1.0023e+06,0,0,0,0,2.26214,0.423636,0.170385,0,0,0.577735,493,0,0,521
[P] has_enum + has_required,has_enum__AND__has_required,has_enum,has_required,246,0.242604,1,1.00218e+06,0,0,0,0,2.1383,0.448286,0.0709939,0,0,0.40499,493,0,0,521
[P] has_additionalProperties + has_defs,has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,402,0.39645,1,1.00217e+06,0,0,0,0,2.13222,0.388948,0.20284,0,0,0.579655,493,0,0,521
[P] has_additionalProperties + has_ref,has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,402,0.39645,1,1.00217e+06,0,0,0,0,2.13222,0.388948,0.20284,0,0,0.579655,493,0,0,521
[P] has_defs + has_enum,has_defs__AND__has_enum,has_defs,has_enum,250,0.246548,1,1.00217e+06,0,0,0,0,2.12565,0.442539,0.0730223,0,0,0.410749,493,0,0,521
[P] has_enum + has_items,has_enum__AND__has_items,has_enum,has_items,250,0.246548,1,1.00217e+06,0,0,0,0,2.12565,0.442539,0.0730223,0,0,0.410749,493,0,0,521
[P] has_enum + has_properties,has_enum__AND__has_properties,has_enum,has_properties,250,0.246548,1,1.00217e+06,0,0,0,0,2.12565,0.442539,0.0730223,0,0,0.410749,493,0,0,521
[P] has_enum + has_ref,has_enum__AND__has_ref,has_enum,has_ref,250,0.246548,1,1.00217e+06,0,0,0,0,2.12565,0.442539,0.0730223,0,0,0.410749,493,0,0,521
[P] has_enum + has_type,has_enum__AND__has_type,has_enum,has_type,250,0.246548,1,1.00217e+06,0,0,0,0,2.12565,0.442539,0.0730223,0,0,0.410749,493,0,0,521
[P] has_items + has_required,has_items__AND__has_required,has_items,has_required,537,0.529586,1,1.00217e+06,0,0,0,0,2.13384,0.350293,0.342799,0,0,0.706334,493,0,0,521
