schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Kubernetes---kb_0_Normalized.json,Kubernetes---kb_0_Normalized.json::test_00000,114,313,0.364217,
Kubernetes---kb_0_Normalized.json,Kubernetes---kb_0_Normalized.json::test_00001,116,311,0.37299,
Kubernetes---kb_1008_Normalized.json,Kubernetes---kb_1008_Normalized.json::test_00000,63,158,0.398734,
Kubernetes---kb_1008_Normalized.json,Kubernetes---kb_1008_Normalized.json::test_00001,64,149,0.42953,
Kubernetes---kb_1011_Normalized.json,Kubernetes---kb_1011_Normalized.json::test_00000,64,149,0.42953,
Kubernetes---kb_1011_Normalized.json,Kubernetes---kb_1011_Normalized.json::test_00001,61,159,0.383648,
Kubernetes---kb_1016_Normalized.json,Kubernetes---kb_1016_Normalized.json::test_00000,5,18,0.277778,
Kubernetes---kb_1016_Normalized.json,Kubernetes---kb_1016_Normalized.json::test_00003,15,18,0.833333,
Kubernetes---kb_1019_Normalized.json,Kubernetes---kb_1019_Normalized.json::test_00000,5,18,0.277778,
Kubernetes---kb_1019_Normalized.json,Kubernetes---kb_1019_Normalized.json::test_00003,15,18,0.833333,
Kubernetes---kb_1020_Normalized.json,Kubernetes---kb_1020_Normalized.json::test_00007,77,163,0.472393,
Kubernetes---kb_1021_Normalized.json,Kubernetes---kb_1021_Normalized.json::test_00000,77,163,0.472393,
Kubernetes---kb_1024_Normalized.json,Kubernetes---kb_1024_Normalized.json::test_00000,59,105,0.561905,
Kubernetes---kb_1024_Normalized.json,Kubernetes---kb_1024_Normalized.json::test_00005,52,98,0.530612,
Kubernetes---kb_1025_Normalized.json,Kubernetes---kb_1025_Normalized.json::test_00000,59,105,0.561905,
Kubernetes---kb_1025_Normalized.json,Kubernetes---kb_1025_Normalized.json::test_00005,61,107,0.570093,
Kubernetes---kb_1026_Normalized.json,Kubernetes---kb_1026_Normalized.json::test_00000,39,135,0.288889,
Kubernetes---kb_1026_Normalized.json,Kubernetes---kb_1026_Normalized.json::test_00006,63,91,0.692308,
Kubernetes---kb_1027_Normalized.json,Kubernetes---kb_1027_Normalized.json::test_00000,41,137,0.29927,
Kubernetes---kb_1027_Normalized.json,Kubernetes---kb_1027_Normalized.json::test_00004,34,146,0.232877,
Kubernetes---kb_1028_Normalized.json,Kubernetes---kb_1028_Normalized.json::test_00000,41,119,0.344538,
Kubernetes---kb_1028_Normalized.json,Kubernetes---kb_1028_Normalized.json::test_00006,35,130,0.269231,
Kubernetes---kb_1029_Normalized.json,Kubernetes---kb_1029_Normalized.json::test_00000,49,131,0.374046,
Kubernetes---kb_1029_Normalized.json,Kubernetes---kb_1029_Normalized.json::test_00004,50,288,0.173611,
Kubernetes---kb_1030_Normalized.json,Kubernetes---kb_1030_Normalized.json::test_00000,63,171,0.368421,
Kubernetes---kb_1030_Normalized.json,Kubernetes---kb_1030_Normalized.json::test_00004,63,153,0.411765,
Kubernetes---kb_1031_Normalized.json,Kubernetes---kb_1031_Normalized.json::test_00000,63,112,0.5625,
Kubernetes---kb_1041_Normalized.json,Kubernetes---kb_1041_Normalized.json::test_00000,41,124,0.330645,
Kubernetes---kb_1041_Normalized.json,Kubernetes---kb_1041_Normalized.json::test_00004,41,185,0.221622,
Kubernetes---kb_1042_Normalized.json,Kubernetes---kb_1042_Normalized.json::test_00000,43,180,0.238889,
Kubernetes---kb_1043_Normalized.json,Kubernetes---kb_1043_Normalized.json::test_00000,37,125,0.296,
Kubernetes---kb_1043_Normalized.json,Kubernetes---kb_1043_Normalized.json::test_00001,37,119,0.310924,
Kubernetes---kb_1044_Normalized.json,Kubernetes---kb_1044_Normalized.json::test_00006,62,120,0.516667,
Kubernetes---kb_1045_Normalized.json,Kubernetes---kb_1045_Normalized.json::test_00000,50,121,0.413223,
Kubernetes---kb_1045_Normalized.json,Kubernetes---kb_1045_Normalized.json::test_00007,62,133,0.466165,
Kubernetes---kb_1046_Normalized.json,Kubernetes---kb_1046_Normalized.json::test_00000,62,120,0.516667,
Kubernetes---kb_1046_Normalized.json,Kubernetes---kb_1046_Normalized.json::test_00005,62,132,0.469697,
Kubernetes---kb_1049_Normalized.json,Kubernetes---kb_1049_Normalized.json::test_00003,24,33,0.727273,
