schema_status,phase,n,mean_s,std_s,median_s,p95_s,min_s,max_s
completed,compile_grammar_s,996,0.00420209,0.00668742,0.0020985,0.0143458,0.00032,0.056073
completed,validation_loop_mean_s,966,0.00323754,0.00291334,0.00237377,0.00888031,0.000219167,0.0267102
completed,compute_mask_mean_s,971,0.00283709,0.00261625,0.00210825,0.007896,0,0.0245108
completed,commit_token_mean_s,971,0.000201401,0.000187429,0.000146625,0.000562583,0,0.00157875
completed,timeout_elapsed_s,0,,,,,,
timeout,compile_grammar_s,0,,,,,,
timeout,validation_loop_mean_s,0,,,,,,
timeout,compute_mask_mean_s,0,,,,,,
timeout,commit_token_mean_s,0,,,,,,
timeout,timeout_elapsed_s,0,,,,,,
