characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,255,118,1067,0,0.152941,0,0.151099,0
schema_json_chars,q2_mid_low,253,1073,2636,0,0.332016,0,0.288684,0
schema_json_chars,q3_mid_high,252,2646,16944,0,0.68254,0,0.645374,0
schema_json_chars,q4_high,254,17061,158506,0,0.889764,0,0.876457,0
schema_file_bytes,q1_low,254,1195,4013,0,0.145669,0,0.139535,0
schema_file_bytes,q2_mid_low,253,4020,7943,0,0.379447,0,0.324074,0
schema_file_bytes,q3_mid_high,253,8010,28301,0,0.652174,0,0.612766,0
schema_file_bytes,q4_high,254,28489,197603,0,0.877953,0,0.859447,0
nb_keywords,q1_low,264,3,13,0,0.155303,0,0.157333,0
nb_keywords,q2_mid_low,245,14,30,0,0.404082,0,0.347826,0
nb_keywords,q3_mid_high,251,31,139,0,0.621514,0,0.58913,0
nb_keywords,q4_high,254,140,1547,0,0.885827,0,0.87007,0
nb_properties,q1_low,256,0,3,0,0.195312,0,0.201657,0
nb_properties,q2_mid_low,256,4,7,0,0.316406,0,0.259681,0
nb_properties,q3_mid_high,256,8,41,0,0.667969,0,0.643629,0
nb_properties,q4_high,246,42,472,0,0.890244,0,0.875,0
nb_required,q1_low,335,0,1,0,0.289552,0,0.281188,0
nb_required,q2_mid_low,193,2,2,0,0.305699,0,0.27027,0
nb_required,q3_mid_high,246,3,6,0,0.654472,0,0.629291,0
nb_required,q4_high,240,7,83,0,0.85,0,0.844444,0
schema_depth,q1_low,460,0,4,0,0.306522,0,0.298738,0
schema_depth,q2_mid_low,392,5,5,0,0.617347,0,0.591168,0
schema_depth,q3_mid_high,0,,,0,0,0,0,0
schema_depth,q4_high,162,6,6,0,0.851852,0,0.833962,0
nb_branches_combinators,q1_low,775,0,0,0,0.465806,0,0.454688,0
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,239,2,4,0,0.669456,0,0.6675,0
nb_enum_values,q1_low,764,0,0,0,0.401832,0,0.393142,0
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,0,,,0,0,0,0,0
nb_enum_values,q4_high,250,1,48,0,0.856,0,0.835681,0
nb_regex,q1_low,1014,0,0,0,0.513807,0,0.505357,0
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,0,,,0,0,0,0,0
nb_regex,q4_high,0,,,0,0,0,0,0
n_tests,q1_low,322,1,3,0,0.506211,0,0.553288,0
n_tests,q2_mid_low,220,4,4,0,0.504545,0,0.482574,0
n_tests,q3_mid_high,324,5,6,0,0.5,0,0.46988,0
n_tests,q4_high,148,7,11,0,0.574324,0,0.533333,0
mean_num_tokens,q1_low,243,5.5,30.2,0,0.152263,0,0.142012,0
mean_num_tokens,q2_mid_low,243,30.25,65.75,0,0.399177,0,0.346154,0
mean_num_tokens,q3_mid_high,242,66,132.333,0,0.677686,0,0.645833,0
mean_num_tokens,q4_high,243,133,3533,0,0.843621,0,0.814988,0
