dataset_id,framework_id,schema_id,n_tests,n_valid_tests,n_invalid_tests,n_valid_completed,n_invalid_completed,n_completed,n_timeout,timeout_status,timeout_stage,timeout_elapsed_s,compile_grammar_s,validation_loop_mean_s,compute_mask_mean_s,commit_token_mean_s,schema_file_bytes,schema_json_chars,mean_instance_json_chars,mean_num_tokens,max_num_tokens,n_correct_accept,n_correct_reject,n_under_constraint,n_over_constraint,under_rate,over_rate,timeout_rate,coverage_rate,accuracy_completed,permissive_score,has_additionalProperties,has_allOf,has_anchor,has_anyOf,has_boolean_schema,has_const,has_contains,has_content,has_default,has_defs,has_dependentRequired,has_dependentSchemas,has_dynamicRef,has_enum,has_exclusiveMaximum,has_exclusiveMinimum,has_if_then_else,has_infinite_loop_detection,has_items,has_maxContains,has_maxItems,has_maxLength,has_maxProperties,has_maximum,has_minContains,has_minItems,has_minLength,has_minProperties,has_minimum,has_multipleOf,has_not,has_oneOf,has_pattern,has_patternProperties,has_prefixItems,has_properties,has_propertyNames,has_ref,has_required,has_type,has_unevaluatedItems,has_unevaluatedProperties,has_uniqueItems,nb_keywords,nb_properties,nb_required,schema_depth,nb_branches_combinators,nb_enum_values,nb_regex,large_enum,many_required,many_properties,deep_schema
Kubernetes,guidance,Kubernetes---kb_0_Normalized.json,3,2,1,2,1,3,0,completed,,,0.010277,0.00565633,0.00503433,0.000395333,24836,12907,1167.67,310,313,0,1,0,2,0,1,0,1,0.333333,-1,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,127,27,10,5,0,0,0,false,true,true,false
Kubernetes,guidance,Kubernetes---kb_1000_Normalized.json,4,2,2,2,2,4,0,completed,,,0.000978,0.00205875,0.0018745,0.00010175,3929,1130,151.75,51.75,57,2,2,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,18,5,2,4,0,0,0,false,false,false,false
Kubernetes,guidance,Kubernetes---kb_1001_Normalized.json,7,2,5,2,5,7,0,completed,,,0.002954,0.00567157,0.00520186,0.000317429,6220,1130,155.714,49.7143,53,2,5,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,18,5,2,4,0,0,0,false,false,false,false
Kubernetes,guidance,Kubernetes---kb_1002_Normalized.json,6,2,4,2,4,6,0,completed,,,0.001405,0.00461867,0.00423317,0.000258,5482,1130,146.833,49.1667,58,2,4,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,18,5,2,4,0,0,0,false,false,false,false
Kubernetes,guidance,Kubernetes---kb_1003_Normalized.json,4,2,2,2,2,4,0,completed,,,0.001055,0.00174,0.00159075,8.25e-05,3924,1130,144.25,49.5,52,2,2,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,18,5,2,4,0,0,0,false,false,false,false
Kubernetes,guidance,Kubernetes---kb_1008_Normalized.json,2,2,0,2,0,2,0,completed,,,0.020542,0.0034995,0.0030485,0.000235,191635,153666,541,153.5,158,0,0,0,2,0,1,0,1,0,-1,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,1483,453,80,6,4,1,0,false,true,true,false
Kubernetes,guidance,Kubernetes---kb_100_Normalized.json,5,2,3,2,3,5,0,completed,,,0.001117,0.000799,0.0007178,4.92e-05,3831,669,106.8,28.4,31,2,3,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,12,4,2,4,0,0,0,false,false,false,false
Kubernetes,guidance,Kubernetes---kb_1011_Normalized.json,2,2,0,2,0,2,0,completed,,,0.04132,0.0051185,0.0044485,0.0003705,191614,153666,530.5,154,159,0,0,0,2,0,1,0,1,0,-1,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,1483,453,80,6,4,1,0,false,true,true,false
Kubernetes,guidance,Kubernetes---kb_1012_Normalized.json,9,2,7,2,7,9,0,completed,,,0.001455,0.00324678,0.00288878,0.000201556,16169,3365,422.889,137.556,182,2,7,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,50,14,3,4,0,0,0,false,false,true,false
Kubernetes,guidance,Kubernetes---kb_1015_Normalized.json,8,2,6,2,6,8,0,completed,,,0.001342,0.00492787,0.00443412,0.0002685,17406,3365,534.375,178.25,219,2,6,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,50,14,3,4,0,0,0,false,false,true,false
