context_family,context_feature,context_value,support_schemas,schemas_with_under,schemas_with_over,schema_under_rate,schema_over_rate,baseline_schema_under_rate,baseline_schema_over_rate,schema_under_lift,schema_over_lift
combinators,allOf_satisfied_branch_count_bucket,0,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,allOf_satisfied_branch_ratio,absent,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,anyOf_satisfied_branch_count,0,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,anyOf_satisfied_branch_count_bucket,0,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,branches_conflicting_types,false,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,branches_have_enum,false,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,branches_have_not,false,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,branches_have_properties,false,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,branches_have_required,false,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,branches_overlapping_properties,false,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,combinator_branch_count_bucket,0,775,0,361,0,0.465806,0,0.513807,0,0.906579
combinators,combinator_branch_count_bucket,2,239,0,160,0,0.669456,0,0.513807,0,1.30293
combinators,combinator_type,absent,775,0,361,0,0.465806,0,0.513807,0,0.906579
combinators,combinator_type,oneOf,239,0,160,0,0.669456,0,0.513807,0,1.30293
combinators,oneOf_satisfied_branch_count,0,1014,0,521,0,0.513807,0,0.513807,0,1
combinators,oneOf_satisfied_branch_count_bucket,0,1014,0,521,0,0.513807,0,0.513807,0,1
not,instance_satisfies_not_subschema,unknown,1014,0,521,0,0.513807,0,0.513807,0,1
not,not_contains_const,false,1014,0,521,0,0.513807,0,0.513807,0,1
not,not_contains_enum,false,1014,0,521,0,0.513807,0,0.513807,0,1
not,not_contains_pattern,false,1014,0,521,0,0.513807,0,0.513807,0,1
not,not_contains_properties,false,1014,0,521,0,0.513807,0,0.513807,0,1
not,not_contains_required,false,1014,0,521,0,0.513807,0,0.513807,0,1
not,not_parent_keyword,absent,1014,0,521,0,0.513807,0,0.513807,0,1
not,not_target_type,absent,1014,0,521,0,0.513807,0,0.513807,0,1
numeric,numeric_boundary_case,not_applicable,1014,0,521,0,0.513807,0,0.513807,0,1
numeric,numeric_has_default,false,1014,0,521,0,0.513807,0,0.513807,0,1
numeric,numeric_has_min_and_max,false,1014,0,521,0,0.513807,0,0.513807,0,1
numeric,numeric_is_in_properties,false,1014,0,521,0,0.513807,0,0.513807,0,1
numeric,numeric_parent_keyword,absent,1014,0,521,0,0.513807,0,0.513807,0,1
numeric,numeric_property_required,false,1014,0,521,0,0.513807,0,0.513807,0,1
numeric,numeric_target_type,absent,1014,0,521,0,0.513807,0,0.513807,0,1
patternProperties,additionalProperties_value,absent,1014,0,521,0,0.513807,0,0.513807,0,1
patternProperties,instance_has_unmatched_keys,false,1005,0,512,0,0.509453,0,0.513807,0,0.991526
patternProperties,instance_has_unmatched_keys,true,123,0,84,0,0.682927,0,0.513807,0,1.32915
patternProperties,instance_matching_pattern_keys_count,0,1014,0,521,0,0.513807,0,0.513807,0,1
patternProperties,patternProperties_has_additionalProperties,false,1014,0,521,0,0.513807,0,0.513807,0,1
patternProperties,patternProperties_regex_has_alternation,false,1014,0,521,0,0.513807,0,0.513807,0,1
patternProperties,patternProperties_regex_has_anchor,false,1014,0,521,0,0.513807,0,0.513807,0,1
patternProperties,patternProperties_regex_has_charclass,false,1014,0,521,0,0.513807,0,0.513807,0,1
patternProperties,patternProperties_regex_has_dotstar,false,1014,0,521,0,0.513807,0,0.513807,0,1
patternProperties,patternProperties_with_properties,false,1014,0,521,0,0.513807,0,0.513807,0,1
