feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.336207,0,0,0.668317,812,0,0,202
has_defs,0.674877,0,0,0.905941,812,0,0,202
has_enum,0.190887,0,0,0.470297,812,0,0,202
has_items,0.545567,0,0,0.782178,812,0,0,202
has_oneOf,0.243842,0,0,0.20297,812,0,0,202
has_properties,0.995074,0,0,1,812,0,0,202
has_ref,0.674877,0,0,0.905941,812,0,0,202
has_required,0.761084,0,0,0.935644,812,0,0,202
has_type,1,0,0,1,812,0,0,202
large_enum,0,0,0,0.0049505,812,0,0,202
many_required,0.304187,0,0,0.559406,812,0,0,202
many_properties,0.390394,0,0,0.727723,812,0,0,202
