feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_defs,731,283,236,19,1266,414,0.186414,0.0458937,4.06186,0.14052,0.720907,0.151786,true
has_ref,731,283,236,19,1266,414,0.186414,0.0458937,4.06186,0.14052,0.720907,0.151786,true
many_properties,464,550,192,63,816,864,0.235294,0.0729167,3.22689,0.162377,0.457594,0.151786,true
has_additionalProperties,408,606,173,82,710,970,0.243662,0.0845361,2.88234,0.159126,0.402367,0.151786,true
has_required,807,207,235,20,1367,313,0.171909,0.0638978,2.69038,0.108012,0.795858,0.151786,true
has_enum,250,764,113,142,426,1254,0.265258,0.113238,2.34249,0.152021,0.246548,0.151786,true
has_items,601,413,202,53,1056,624,0.191288,0.0849359,2.25214,0.106352,0.592702,0.151786,true
many_required,360,654,141,114,624,1056,0.225962,0.107955,2.09312,0.118007,0.35503,0.151786,true
has_oneOf,239,775,60,195,400,1280,0.15,0.152344,0.984615,-0.00234375,0.2357,0.151786,true
has_properties,1010,4,255,0,1676,4,0.152148,0,inf,0.152148,0.996055,0.151786,false
has_type,1014,0,255,0,1680,0,0.151786,0,inf,0.151786,1,0.151786,false
large_enum,1,1013,1,254,2,1678,0.5,0.151371,3.30315,0.348629,0.000986193,0.151786,false
