feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_properties + has_type,has_properties__AND__has_type,has_properties,has_type,1010,0.996055,1,1.05002e+06,0,0,0,0,inf,0.152148,0.995074,0,0,1,812,0,0,202
[P] has_defs + has_properties,has_defs__AND__has_properties,has_defs,has_properties,731,0.720907,1,1.00408e+06,0,0,0,0,4.06186,0.14052,0.674877,0,0,0.905941,812,0,0,202
[P] has_defs + has_ref,has_defs__AND__has_ref,has_defs,has_ref,731,0.720907,1,1.00408e+06,0,0,0,0,4.06186,0.14052,0.674877,0,0,0.905941,812,0,0,202
[P] has_defs + has_type,has_defs__AND__has_type,has_defs,has_type,731,0.720907,1,1.00408e+06,0,0,0,0,4.06186,0.14052,0.674877,0,0,0.905941,812,0,0,202
[P] has_properties + has_ref,has_properties__AND__has_ref,has_properties,has_ref,731,0.720907,1,1.00408e+06,0,0,0,0,4.06186,0.14052,0.674877,0,0,0.905941,812,0,0,202
[P] has_ref + has_type,has_ref__AND__has_type,has_ref,has_type,731,0.720907,1,1.00408e+06,0,0,0,0,4.06186,0.14052,0.674877,0,0,0.905941,812,0,0,202
[P] has_additionalProperties + has_items,has_additionalProperties__AND__has_items,has_additionalProperties,has_items,385,0.379684,1,1.00301e+06,0,0,0,0,2.99257,0.168191,0.311576,0,0,0.653465,812,0,0,202
[P] has_additionalProperties + has_defs,has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,402,0.39645,1,1.00298e+06,0,0,0,0,2.9609,0.163908,0.328818,0,0,0.668317,812,0,0,202
[P] has_additionalProperties + has_ref,has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,402,0.39645,1,1.00298e+06,0,0,0,0,2.9609,0.163908,0.328818,0,0,0.668317,812,0,0,202
[P] has_additionalProperties + has_properties,has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,408,0.402367,1,1.0029e+06,0,0,0,0,2.88234,0.159126,0.336207,0,0,0.668317,812,0,0,202
[P] has_additionalProperties + has_type,has_additionalProperties__AND__has_type,has_additionalProperties,has_type,408,0.402367,1,1.0029e+06,0,0,0,0,2.88234,0.159126,0.336207,0,0,0.668317,812,0,0,202
[P] has_defs + has_required,has_defs__AND__has_required,has_defs,has_required,636,0.627219,1,1.00286e+06,0,0,0,0,2.84407,0.126174,0.573892,0,0,0.841584,812,0,0,202
[P] has_ref + has_required,has_ref__AND__has_required,has_ref,has_required,636,0.627219,1,1.00286e+06,0,0,0,0,2.84407,0.126174,0.573892,0,0,0.841584,812,0,0,202
[P] has_properties + has_required,has_properties__AND__has_required,has_properties,has_required,807,0.795858,1,1.0027e+06,0,0,0,0,2.69038,0.108012,0.761084,0,0,0.935644,812,0,0,202
[P] has_required + has_type,has_required__AND__has_type,has_required,has_type,807,0.795858,1,1.0027e+06,0,0,0,0,2.69038,0.108012,0.761084,0,0,0.935644,812,0,0,202
[P] has_defs + has_items,has_defs__AND__has_items,has_defs,has_items,539,0.531558,1,1.0027e+06,0,0,0,0,2.68467,0.130486,0.472906,0,0,0.767327,812,0,0,202
[P] has_items + has_ref,has_items__AND__has_ref,has_items,has_ref,539,0.531558,1,1.0027e+06,0,0,0,0,2.68467,0.130486,0.472906,0,0,0.767327,812,0,0,202
[P] has_additionalProperties + has_required,has_additionalProperties__AND__has_required,has_additionalProperties,has_required,383,0.377712,1,1.00256e+06,0,0,0,0,2.54058,0.145424,0.315271,0,0,0.628713,812,0,0,202
[P] has_additionalProperties + has_enum,has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,238,0.234714,1,1.00249e+06,0,0,0,0,2.47372,0.165159,0.17734,0,0,0.465347,812,0,0,202
[P] has_enum + has_required,has_enum__AND__has_required,has_enum,has_required,246,0.242604,1,1.00238e+06,0,0,0,0,2.36464,0.15463,0.187192,0,0,0.465347,812,0,0,202
