feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_defs__AND__has_properties,has_defs,has_properties,731,283,0.720907,236,19,1266,414,0.186414,0.0458937,4.06186,0.14052,true
has_defs__AND__has_ref,has_defs,has_ref,731,283,0.720907,236,19,1266,414,0.186414,0.0458937,4.06186,0.14052,true
has_defs__AND__has_type,has_defs,has_type,731,283,0.720907,236,19,1266,414,0.186414,0.0458937,4.06186,0.14052,true
has_properties__AND__has_ref,has_properties,has_ref,731,283,0.720907,236,19,1266,414,0.186414,0.0458937,4.06186,0.14052,true
has_ref__AND__has_type,has_ref,has_type,731,283,0.720907,236,19,1266,414,0.186414,0.0458937,4.06186,0.14052,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,385,629,0.379684,170,85,673,1007,0.2526,0.0844091,2.99257,0.168191,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,402,612,0.39645,173,82,699,981,0.247496,0.0835882,2.9609,0.163908,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,402,612,0.39645,173,82,699,981,0.247496,0.0835882,2.9609,0.163908,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,408,606,0.402367,173,82,710,970,0.243662,0.0845361,2.88234,0.159126,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,408,606,0.402367,173,82,710,970,0.243662,0.0845361,2.88234,0.159126,true
has_defs__AND__has_required,has_defs,has_required,636,378,0.627219,216,39,1110,570,0.194595,0.0684211,2.84407,0.126174,true
has_ref__AND__has_required,has_ref,has_required,636,378,0.627219,216,39,1110,570,0.194595,0.0684211,2.84407,0.126174,true
has_properties__AND__has_required,has_properties,has_required,807,207,0.795858,235,20,1367,313,0.171909,0.0638978,2.69038,0.108012,true
has_required__AND__has_type,has_required,has_type,807,207,0.795858,235,20,1367,313,0.171909,0.0638978,2.69038,0.108012,true
has_defs__AND__has_items,has_defs,has_items,539,475,0.531558,199,56,957,723,0.207941,0.077455,2.68467,0.130486,true
has_items__AND__has_ref,has_items,has_ref,539,475,0.531558,199,56,957,723,0.207941,0.077455,2.68467,0.130486,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,383,631,0.377712,159,96,663,1017,0.239819,0.0943953,2.54058,0.145424,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,238,776,0.234714,112,143,404,1276,0.277228,0.112069,2.47372,0.165159,true
has_enum__AND__has_required,has_enum,has_required,246,768,0.242604,112,143,418,1262,0.267943,0.113312,2.36464,0.15463,true
has_defs__AND__has_enum,has_defs,has_enum,250,764,0.246548,113,142,426,1254,0.265258,0.113238,2.34249,0.152021,true
has_enum__AND__has_items,has_enum,has_items,250,764,0.246548,113,142,426,1254,0.265258,0.113238,2.34249,0.152021,true
has_enum__AND__has_properties,has_enum,has_properties,250,764,0.246548,113,142,426,1254,0.265258,0.113238,2.34249,0.152021,true
has_enum__AND__has_ref,has_enum,has_ref,250,764,0.246548,113,142,426,1254,0.265258,0.113238,2.34249,0.152021,true
has_enum__AND__has_type,has_enum,has_type,250,764,0.246548,113,142,426,1254,0.265258,0.113238,2.34249,0.152021,true
has_items__AND__has_properties,has_items,has_properties,601,413,0.592702,202,53,1056,624,0.191288,0.0849359,2.25214,0.106352,true
has_items__AND__has_type,has_items,has_type,601,413,0.592702,202,53,1056,624,0.191288,0.0849359,2.25214,0.106352,true
has_items__AND__has_required,has_items,has_required,537,477,0.529586,187,68,942,738,0.198514,0.0921409,2.15446,0.106373,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,69,945,0.0680473,30,225,115,1565,0.26087,0.14377,1.81449,0.1171,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,168,846,0.16568,54,201,288,1392,0.1875,0.144397,1.29851,0.0431034,true
has_items__AND__has_oneOf,has_items,has_oneOf,184,830,0.18146,60,195,323,1357,0.185759,0.143699,1.29269,0.0420592,true
has_oneOf__AND__has_required,has_oneOf,has_required,212,802,0.209073,60,195,362,1318,0.165746,0.147951,1.12027,0.0177944,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,239,775,0.2357,60,195,400,1280,0.15,0.152344,0.984615,-0.00234375,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,239,775,0.2357,60,195,400,1280,0.15,0.152344,0.984615,-0.00234375,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,239,775,0.2357,60,195,400,1280,0.15,0.152344,0.984615,-0.00234375,true
has_oneOf__AND__has_type,has_oneOf,has_type,239,775,0.2357,60,195,400,1280,0.15,0.152344,0.984615,-0.00234375,true
has_properties__AND__has_type,has_properties,has_type,1010,4,0.996055,255,0,1676,4,0.152148,0,inf,0.152148,false
