schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Kubernetes---kb_1016_Normalized.json,Kubernetes---kb_1016_Normalized.json::test_00000,8,18,0.444444,7
Kubernetes---kb_1019_Normalized.json,Kubernetes---kb_1019_Normalized.json::test_00000,8,18,0.444444,7
Kubernetes---kb_101_Normalized.json,Kubernetes---kb_101_Normalized.json::test_00000,33,70,0.471429,32
Kubernetes---kb_1026_Normalized.json,Kubernetes---kb_1026_Normalized.json::test_00000,52,135,0.385185,51
Kubernetes---kb_1027_Normalized.json,Kubernetes---kb_1027_Normalized.json::test_00000,54,137,0.394161,53
Kubernetes---kb_1028_Normalized.json,Kubernetes---kb_1028_Normalized.json::test_00000,54,119,0.453782,53
Kubernetes---kb_1029_Normalized.json,Kubernetes---kb_1029_Normalized.json::test_00000,62,131,0.473282,61
Kubernetes---kb_102_Normalized.json,Kubernetes---kb_102_Normalized.json::test_00000,33,65,0.507692,32
Kubernetes---kb_1030_Normalized.json,Kubernetes---kb_1030_Normalized.json::test_00000,163,171,0.953216,162
Kubernetes---kb_1031_Normalized.json,Kubernetes---kb_1031_Normalized.json::test_00000,104,112,0.928571,103
Kubernetes---kb_1041_Normalized.json,Kubernetes---kb_1041_Normalized.json::test_00000,99,124,0.798387,98
Kubernetes---kb_1070_Normalized.json,Kubernetes---kb_1070_Normalized.json::test_00000,153,213,0.71831,152
Kubernetes---kb_1071_Normalized.json,Kubernetes---kb_1071_Normalized.json::test_00000,155,283,0.547703,154
Kubernetes---kb_1072_Normalized.json,Kubernetes---kb_1072_Normalized.json::test_00000,49,108,0.453704,48
Kubernetes---kb_1096_Normalized.json,Kubernetes---kb_1096_Normalized.json::test_00000,0,173,0,
Kubernetes---kb_1115_Normalized.json,Kubernetes---kb_1115_Normalized.json::test_00000,47,106,0.443396,46
Kubernetes---kb_1142_Normalized.json,Kubernetes---kb_1142_Normalized.json::test_00000,41,64,0.640625,40
Kubernetes---kb_1142_Normalized.json,Kubernetes---kb_1142_Normalized.json::test_00002,41,63,0.650794,40
Kubernetes---kb_1143_Normalized.json,Kubernetes---kb_1143_Normalized.json::test_00000,41,63,0.650794,40
Kubernetes---kb_1143_Normalized.json,Kubernetes---kb_1143_Normalized.json::test_00002,41,63,0.650794,40
Kubernetes---kb_115_Normalized.json,Kubernetes---kb_115_Normalized.json::test_00000,17,51,0.333333,16
Kubernetes---kb_116_Normalized.json,Kubernetes---kb_116_Normalized.json::test_00000,19,55,0.345455,18
Kubernetes---kb_135_Normalized.json,Kubernetes---kb_135_Normalized.json::test_00000,36,264,0.136364,35
Kubernetes---kb_137_Normalized.json,Kubernetes---kb_137_Normalized.json::test_00000,38,197,0.192893,37
Kubernetes---kb_138_Normalized.json,Kubernetes---kb_138_Normalized.json::test_00000,36,96,0.375,35
Kubernetes---kb_139_Normalized.json,Kubernetes---kb_139_Normalized.json::test_00000,68,176,0.386364,67
Kubernetes---kb_139_Normalized.json,Kubernetes---kb_139_Normalized.json::test_00005,68,256,0.265625,67
Kubernetes---kb_142_Normalized.json,Kubernetes---kb_142_Normalized.json::test_00000,74,229,0.323144,73
Kubernetes---kb_143_Normalized.json,Kubernetes---kb_143_Normalized.json::test_00000,45,76,0.592105,44
Kubernetes---kb_143_Normalized.json,Kubernetes---kb_143_Normalized.json::test_00001,45,96,0.46875,44
Kubernetes---kb_144_Normalized.json,Kubernetes---kb_144_Normalized.json::test_00000,45,76,0.592105,44
Kubernetes---kb_145_Normalized.json,Kubernetes---kb_145_Normalized.json::test_00000,45,78,0.576923,44
Kubernetes---kb_146_Normalized.json,Kubernetes---kb_146_Normalized.json::test_00000,57,119,0.478992,56
Kubernetes---kb_149_Normalized.json,Kubernetes---kb_149_Normalized.json::test_00000,24,87,0.275862,23
Kubernetes---kb_149_Normalized.json,Kubernetes---kb_149_Normalized.json::test_00001,15,65,0.230769,14
Kubernetes---kb_150_Normalized.json,Kubernetes---kb_150_Normalized.json::test_00000,15,59,0.254237,14
Kubernetes---kb_150_Normalized.json,Kubernetes---kb_150_Normalized.json::test_00001,24,83,0.289157,23
Kubernetes---kb_151_Normalized.json,Kubernetes---kb_151_Normalized.json::test_00000,15,65,0.230769,14
Kubernetes---kb_151_Normalized.json,Kubernetes---kb_151_Normalized.json::test_00001,15,59,0.254237,14
Kubernetes---kb_160_Normalized.json,Kubernetes---kb_160_Normalized.json::test_00000,41,83,0.493976,40
Kubernetes---kb_161_Normalized.json,Kubernetes---kb_161_Normalized.json::test_00000,41,83,0.493976,40
