characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,255,118,1067,0,0.027451,0,0.0192308,0
schema_json_chars,q2_mid_low,253,1073,2636,0,0.13834,0,0.0854503,0
schema_json_chars,q3_mid_high,252,2646,16944,0,0.269841,0,0.196035,0
schema_json_chars,q4_high,254,17061,158506,0,0.362205,0,0.284382,0
schema_file_bytes,q1_low,254,1195,4013,0,0.0314961,0,0.0232558,0
schema_file_bytes,q2_mid_low,253,4020,7943,0,0.118577,0,0.087963,0
schema_file_bytes,q3_mid_high,253,8010,28301,0,0.252964,0,0.165957,0
schema_file_bytes,q4_high,254,28489,197603,0,0.393701,0,0.301843,0
nb_keywords,q1_low,264,3,13,0,0.0454545,0,0.032,0
nb_keywords,q2_mid_low,245,14,30,0,0.122449,0,0.0869565,0
nb_keywords,q3_mid_high,251,31,139,0,0.294821,0,0.193478,0
nb_keywords,q4_high,254,140,1547,0,0.338583,0,0.273782,0
nb_properties,q1_low,256,0,3,0,0.046875,0,0.038674,0
nb_properties,q2_mid_low,256,4,7,0,0.148438,0,0.100228,0
nb_properties,q3_mid_high,256,8,41,0,0.273438,0,0.181425,0
nb_properties,q4_high,246,42,472,0,0.333333,0,0.271635,0
nb_required,q1_low,335,0,1,0,0.0955224,0,0.0811881,0
nb_required,q2_mid_low,193,2,2,0,0.124352,0,0.0960961,0
nb_required,q3_mid_high,246,3,6,0,0.264228,0,0.173913,0
nb_required,q4_high,240,7,83,0,0.3375,0,0.261728,0
schema_depth,q1_low,460,0,4,0,0.1,0,0.0799439,0
schema_depth,q2_mid_low,392,5,5,0,0.265306,0,0.18661,0
schema_depth,q3_mid_high,0,,,0,0,0,0,0
schema_depth,q4_high,162,6,6,0,0.320988,0,0.25283,0
nb_branches_combinators,q1_low,775,0,0,0,0.207742,0,0.152344,0
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,239,2,4,0,0.171548,0,0.15,0
nb_enum_values,q1_low,764,0,0,0,0.140052,0,0.113238,0
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,0,,,0,0,0,0,0
nb_enum_values,q4_high,250,1,48,0,0.38,0,0.265258,0
nb_regex,q1_low,1014,0,0,0,0.199211,0,0.151786,0
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,0,,,0,0,0,0,0
nb_regex,q4_high,0,,,0,0,0,0,0
n_tests,q1_low,322,1,3,0,0.170807,0,0.181406,0
n_tests,q2_mid_low,220,4,4,0,0.154545,0,0.117962,0
n_tests,q3_mid_high,324,5,6,0,0.203704,0,0.141136,0
n_tests,q4_high,148,7,11,0,0.317568,0,0.17193,0
mean_num_tokens,q1_low,247,5.5,29,0,0.0364372,0,0.0265487,0
mean_num_tokens,q2_mid_low,247,29.2,62.8,0,0.117409,0,0.0815348,0
mean_num_tokens,q3_mid_high,247,63,130.5,0,0.263158,0,0.174208,0
mean_num_tokens,q4_high,247,130.75,3533,0,0.295547,0,0.200461,0
