context_family,context_feature,context_value,support_schemas,schemas_with_under,schemas_with_over,schema_under_rate,schema_over_rate,baseline_schema_under_rate,baseline_schema_over_rate,schema_under_lift,schema_over_lift
combinators,allOf_satisfied_branch_count_bucket,0,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,allOf_satisfied_branch_ratio,absent,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,anyOf_satisfied_branch_count,0,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,anyOf_satisfied_branch_count_bucket,0,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,branches_conflicting_types,false,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,branches_have_enum,false,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,branches_have_not,false,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,branches_have_properties,false,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,branches_have_required,false,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,branches_overlapping_properties,false,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,combinator_branch_count_bucket,0,775,0,161,0,0.207742,0,0.199211,0,1.04282
combinators,combinator_branch_count_bucket,2,239,0,41,0,0.171548,0,0.199211,0,0.861138
combinators,combinator_type,absent,775,0,161,0,0.207742,0,0.199211,0,1.04282
combinators,combinator_type,oneOf,239,0,41,0,0.171548,0,0.199211,0,0.861138
combinators,oneOf_satisfied_branch_count,0,1014,0,202,0,0.199211,0,0.199211,0,1
combinators,oneOf_satisfied_branch_count_bucket,0,1014,0,202,0,0.199211,0,0.199211,0,1
not,instance_satisfies_not_subschema,unknown,1014,0,202,0,0.199211,0,0.199211,0,1
not,not_contains_const,false,1014,0,202,0,0.199211,0,0.199211,0,1
not,not_contains_enum,false,1014,0,202,0,0.199211,0,0.199211,0,1
not,not_contains_pattern,false,1014,0,202,0,0.199211,0,0.199211,0,1
not,not_contains_properties,false,1014,0,202,0,0.199211,0,0.199211,0,1
not,not_contains_required,false,1014,0,202,0,0.199211,0,0.199211,0,1
not,not_parent_keyword,absent,1014,0,202,0,0.199211,0,0.199211,0,1
not,not_target_type,absent,1014,0,202,0,0.199211,0,0.199211,0,1
numeric,numeric_boundary_case,not_applicable,1014,0,202,0,0.199211,0,0.199211,0,1
numeric,numeric_has_default,false,1014,0,202,0,0.199211,0,0.199211,0,1
numeric,numeric_has_min_and_max,false,1014,0,202,0,0.199211,0,0.199211,0,1
numeric,numeric_is_in_properties,false,1014,0,202,0,0.199211,0,0.199211,0,1
numeric,numeric_parent_keyword,absent,1014,0,202,0,0.199211,0,0.199211,0,1
numeric,numeric_property_required,false,1014,0,202,0,0.199211,0,0.199211,0,1
numeric,numeric_target_type,absent,1014,0,202,0,0.199211,0,0.199211,0,1
patternProperties,additionalProperties_value,absent,1014,0,202,0,0.199211,0,0.199211,0,1
patternProperties,instance_has_unmatched_keys,false,1005,0,193,0,0.19204,0,0.199211,0,0.964002
patternProperties,instance_has_unmatched_keys,true,123,0,82,0,0.666667,0,0.199211,0,3.34653
patternProperties,instance_matching_pattern_keys_count,0,1014,0,202,0,0.199211,0,0.199211,0,1
patternProperties,patternProperties_has_additionalProperties,false,1014,0,202,0,0.199211,0,0.199211,0,1
patternProperties,patternProperties_regex_has_alternation,false,1014,0,202,0,0.199211,0,0.199211,0,1
patternProperties,patternProperties_regex_has_anchor,false,1014,0,202,0,0.199211,0,0.199211,0,1
patternProperties,patternProperties_regex_has_charclass,false,1014,0,202,0,0.199211,0,0.199211,0,1
patternProperties,patternProperties_regex_has_dotstar,false,1014,0,202,0,0.199211,0,0.199211,0,1
patternProperties,patternProperties_with_properties,false,1014,0,202,0,0.199211,0,0.199211,0,1
