context_family,context_feature,context_value,schema_id,test_id,test_index,expected_validity,outlines_result,failure_type,important_feature_values,schema_path,instance_preview
combinators,allOf_satisfied_branch_count_bucket,0,Kubernetes---kb_0_Normalized.json,Kubernetes---kb_0_Normalized.json::test_00002,2,invalid,rejected,CORRECT_INVALID,allOf_satisfied_branch_count_bucket=0; numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_0_Normalized.json,"{""nodeAffinity"": {""preferredDuringSchedulingIgnoredDuringExecution"": [{""preference"": {""matchExpressions"": [{""key"": ""kubernetes.io/hostname"", ""operator"": ""In"", ""values"": [""node1"", 123]}]}, ""weight"": 10}], ""requiredDuringSchedulingIgnoredDuringExecution"": {""n..."
combinators,allOf_satisfied_branch_count_bucket,0,Kubernetes---kb_1000_Normalized.json,Kubernetes---kb_1000_Normalized.json::test_00001,1,invalid,rejected,CORRECT_INVALID,allOf_satisfied_branch_count_bucket=0; numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_1000_Normalized.json,"{""lastTransitionTime"": ""2022-01-01T12:00:00Z"", ""message"": 123, ""reason"": ""StatefulSetRunning"", ""status"": ""True"", ""type"": ""Available""}"
combinators,allOf_satisfied_branch_count_bucket,0,Kubernetes---kb_1000_Normalized.json,Kubernetes---kb_1000_Normalized.json::test_00003,3,invalid,rejected,CORRECT_INVALID,allOf_satisfied_branch_count_bucket=0; numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_1000_Normalized.json,"{""lastTransitionTime"": ""2022-01-01T12:00:00Z"", ""message"": ""StatefulSet is running"", ""reason"": 12345, ""status"": ""True"", ""type"": ""Available"", ""type2"": ""Available2""}"
combinators,allOf_satisfied_branch_ratio,absent,Kubernetes---kb_0_Normalized.json,Kubernetes---kb_0_Normalized.json::test_00002,2,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_0_Normalized.json,"{""nodeAffinity"": {""preferredDuringSchedulingIgnoredDuringExecution"": [{""preference"": {""matchExpressions"": [{""key"": ""kubernetes.io/hostname"", ""operator"": ""In"", ""values"": [""node1"", 123]}]}, ""weight"": 10}], ""requiredDuringSchedulingIgnoredDuringExecution"": {""n..."
combinators,allOf_satisfied_branch_ratio,absent,Kubernetes---kb_1000_Normalized.json,Kubernetes---kb_1000_Normalized.json::test_00001,1,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_1000_Normalized.json,"{""lastTransitionTime"": ""2022-01-01T12:00:00Z"", ""message"": 123, ""reason"": ""StatefulSetRunning"", ""status"": ""True"", ""type"": ""Available""}"
combinators,allOf_satisfied_branch_ratio,absent,Kubernetes---kb_1000_Normalized.json,Kubernetes---kb_1000_Normalized.json::test_00003,3,invalid,rejected,CORRECT_INVALID,numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_1000_Normalized.json,"{""lastTransitionTime"": ""2022-01-01T12:00:00Z"", ""message"": ""StatefulSet is running"", ""reason"": 12345, ""status"": ""True"", ""type"": ""Available"", ""type2"": ""Available2""}"
combinators,anyOf_satisfied_branch_count,0,Kubernetes---kb_0_Normalized.json,Kubernetes---kb_0_Normalized.json::test_00002,2,invalid,rejected,CORRECT_INVALID,anyOf_satisfied_branch_count=0; numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_0_Normalized.json,"{""nodeAffinity"": {""preferredDuringSchedulingIgnoredDuringExecution"": [{""preference"": {""matchExpressions"": [{""key"": ""kubernetes.io/hostname"", ""operator"": ""In"", ""values"": [""node1"", 123]}]}, ""weight"": 10}], ""requiredDuringSchedulingIgnoredDuringExecution"": {""n..."
combinators,anyOf_satisfied_branch_count,0,Kubernetes---kb_1000_Normalized.json,Kubernetes---kb_1000_Normalized.json::test_00001,1,invalid,rejected,CORRECT_INVALID,anyOf_satisfied_branch_count=0; numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_1000_Normalized.json,"{""lastTransitionTime"": ""2022-01-01T12:00:00Z"", ""message"": 123, ""reason"": ""StatefulSetRunning"", ""status"": ""True"", ""type"": ""Available""}"
combinators,anyOf_satisfied_branch_count,0,Kubernetes---kb_1000_Normalized.json,Kubernetes---kb_1000_Normalized.json::test_00003,3,invalid,rejected,CORRECT_INVALID,anyOf_satisfied_branch_count=0; numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=true; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0; anyOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_1000_Normalized.json,"{""lastTransitionTime"": ""2022-01-01T12:00:00Z"", ""message"": ""StatefulSet is running"", ""reason"": 12345, ""status"": ""True"", ""type"": ""Available"", ""type2"": ""Available2""}"
combinators,anyOf_satisfied_branch_count_bucket,0,Kubernetes---kb_0_Normalized.json,Kubernetes---kb_0_Normalized.json::test_00002,2,invalid,rejected,CORRECT_INVALID,anyOf_satisfied_branch_count_bucket=0; numeric_boundary_case=not_applicable; numeric_target_type=absent; numeric_parent_keyword=absent; additionalProperties_value=absent; instance_has_unmatched_keys=false; instance_matching_pattern_keys_count=0; combinator_type=absent; combinator_branch_count_bucket=0; oneOf_satisfied_branch_count_bucket=0,/home/berrais/stage/jsonschemabench/maskbench/data/Kubernetes---kb_0_Normalized.json,"{""nodeAffinity"": {""preferredDuringSchedulingIgnoredDuringExecution"": [{""preference"": {""matchExpressions"": [{""key"": ""kubernetes.io/hostname"", ""operator"": ""In"", ""values"": [""node1"", 123]}]}, ""weight"": 10}], ""requiredDuringSchedulingIgnoredDuringExecution"": {""n..."
