feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.288312,0,0,0.762295,770,0,0,244
has_defs,0.657143,0,0,0.922131,770,0,0,244
has_enum,0.123377,0,0,0.635246,770,0,0,244
has_items,0.514286,0,0,0.840164,770,0,0,244
has_oneOf,0.262338,0,0,0.151639,770,0,0,244
has_properties,0.994805,0,0,1,770,0,0,244
has_ref,0.657143,0,0,0.922131,770,0,0,244
has_required,0.748052,0,0,0.946721,770,0,0,244
has_type,1,0,0,1,770,0,0,244
large_enum,0,0,0,0.00409836,770,0,0,244
many_required,0.254545,0,0,0.672131,770,0,0,244
many_properties,0.351948,0,0,0.790984,770,0,0,244
