feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_enum,250,764,245,101,426,1254,0.575117,0.0805423,7.14057,0.494575,0.246548,0.205952,true
has_additionalProperties,408,606,283,63,710,970,0.398592,0.0649485,6.13704,0.333643,0.402367,0.205952,true
many_properties,464,550,292,54,816,864,0.357843,0.0625,5.72549,0.295343,0.457594,0.205952,true
has_defs,731,283,327,19,1266,414,0.258294,0.0458937,5.62809,0.2124,0.720907,0.205952,true
has_ref,731,283,327,19,1266,414,0.258294,0.0458937,5.62809,0.2124,0.720907,0.205952,true
has_required,807,207,332,14,1367,313,0.242868,0.0447284,5.42983,0.198139,0.795858,0.205952,true
many_required,360,654,254,92,624,1056,0.407051,0.0871212,4.67224,0.31993,0.35503,0.205952,true
has_items,601,413,304,42,1056,624,0.287879,0.0673077,4.27706,0.220571,0.592702,0.205952,true
has_oneOf,239,775,58,288,400,1280,0.145,0.225,0.644444,-0.08,0.2357,0.205952,true
has_properties,1010,4,346,0,1676,4,0.206444,0,inf,0.206444,0.996055,0.205952,false
has_type,1014,0,346,0,1680,0,0.205952,0,inf,0.205952,1,0.205952,false
large_enum,1,1013,1,345,2,1678,0.5,0.205602,2.43188,0.294398,0.000986193,0.205952,false
