feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_properties + has_type,has_properties__AND__has_type,has_properties,has_type,1010,0.996055,1,1.05002e+06,0,0,0,0,inf,0.206444,0.994805,0,0,1,770,0,0,244
[P] has_additionalProperties + has_enum,has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,238,0.234714,1,1.00761e+06,0,0,0,0,7.55543,0.524023,0.109091,0,0,0.631148,770,0,0,244
[P] has_enum + has_required,has_enum__AND__has_required,has_enum,has_required,246,0.242604,1,1.00727e+06,0,0,0,0,7.22225,0.502908,0.119481,0,0,0.631148,770,0,0,244
[P] has_defs + has_enum,has_defs__AND__has_enum,has_defs,has_enum,250,0.246548,1,1.00719e+06,0,0,0,0,7.14057,0.494575,0.123377,0,0,0.635246,770,0,0,244
[P] has_enum + has_items,has_enum__AND__has_items,has_enum,has_items,250,0.246548,1,1.00719e+06,0,0,0,0,7.14057,0.494575,0.123377,0,0,0.635246,770,0,0,244
[P] has_enum + has_properties,has_enum__AND__has_properties,has_enum,has_properties,250,0.246548,1,1.00719e+06,0,0,0,0,7.14057,0.494575,0.123377,0,0,0.635246,770,0,0,244
[P] has_enum + has_ref,has_enum__AND__has_ref,has_enum,has_ref,250,0.246548,1,1.00719e+06,0,0,0,0,7.14057,0.494575,0.123377,0,0,0.635246,770,0,0,244
[P] has_enum + has_type,has_enum__AND__has_type,has_enum,has_type,250,0.246548,1,1.00719e+06,0,0,0,0,7.14057,0.494575,0.123377,0,0,0.635246,770,0,0,244
[P] has_additionalProperties + has_items,has_additionalProperties__AND__has_items,has_additionalProperties,has_items,385,0.379684,1,1.00638e+06,0,0,0,0,6.34788,0.350506,0.262338,0,0,0.75,770,0,0,244
[P] has_additionalProperties + has_defs,has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,402,0.39645,1,1.00634e+06,0,0,0,0,6.30431,0.340644,0.280519,0,0,0.762295,770,0,0,244
[P] has_additionalProperties + has_ref,has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,402,0.39645,1,1.00634e+06,0,0,0,0,6.30431,0.340644,0.280519,0,0,0.762295,770,0,0,244
[P] has_additionalProperties + has_properties,has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,408,0.402367,1,1.00617e+06,0,0,0,0,6.13704,0.333643,0.288312,0,0,0.762295,770,0,0,244
[P] has_additionalProperties + has_type,has_additionalProperties__AND__has_type,has_additionalProperties,has_type,408,0.402367,1,1.00617e+06,0,0,0,0,6.13704,0.333643,0.288312,0,0,0.762295,770,0,0,244
[P] has_additionalProperties + has_required,has_additionalProperties__AND__has_required,has_additionalProperties,has_required,383,0.377712,1,1.00598e+06,0,0,0,0,5.9413,0.344968,0.266234,0,0,0.729508,770,0,0,244
[P] has_defs + has_properties,has_defs__AND__has_properties,has_defs,has_properties,731,0.720907,1,1.00565e+06,0,0,0,0,5.62809,0.2124,0.657143,0,0,0.922131,770,0,0,244
[P] has_defs + has_ref,has_defs__AND__has_ref,has_defs,has_ref,731,0.720907,1,1.00565e+06,0,0,0,0,5.62809,0.2124,0.657143,0,0,0.922131,770,0,0,244
[P] has_defs + has_type,has_defs__AND__has_type,has_defs,has_type,731,0.720907,1,1.00565e+06,0,0,0,0,5.62809,0.2124,0.657143,0,0,0.922131,770,0,0,244
[P] has_properties + has_ref,has_properties__AND__has_ref,has_properties,has_ref,731,0.720907,1,1.00565e+06,0,0,0,0,5.62809,0.2124,0.657143,0,0,0.922131,770,0,0,244
[P] has_ref + has_type,has_ref__AND__has_type,has_ref,has_type,731,0.720907,1,1.00565e+06,0,0,0,0,5.62809,0.2124,0.657143,0,0,0.922131,770,0,0,244
[P] has_properties + has_required,has_properties__AND__has_required,has_properties,has_required,807,0.795858,1,1.00545e+06,0,0,0,0,5.42983,0.198139,0.748052,0,0,0.946721,770,0,0,244
