feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,238,776,0.234714,244,102,404,1276,0.60396,0.0799373,7.55543,0.524023,true
has_enum__AND__has_required,has_enum,has_required,246,768,0.242604,244,102,418,1262,0.583732,0.0808241,7.22225,0.502908,true
has_defs__AND__has_enum,has_defs,has_enum,250,764,0.246548,245,101,426,1254,0.575117,0.0805423,7.14057,0.494575,true
has_enum__AND__has_items,has_enum,has_items,250,764,0.246548,245,101,426,1254,0.575117,0.0805423,7.14057,0.494575,true
has_enum__AND__has_properties,has_enum,has_properties,250,764,0.246548,245,101,426,1254,0.575117,0.0805423,7.14057,0.494575,true
has_enum__AND__has_ref,has_enum,has_ref,250,764,0.246548,245,101,426,1254,0.575117,0.0805423,7.14057,0.494575,true
has_enum__AND__has_type,has_enum,has_type,250,764,0.246548,245,101,426,1254,0.575117,0.0805423,7.14057,0.494575,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,385,629,0.379684,280,66,673,1007,0.416048,0.0655412,6.34788,0.350506,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,402,612,0.39645,283,63,699,981,0.404864,0.0642202,6.30431,0.340644,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,402,612,0.39645,283,63,699,981,0.404864,0.0642202,6.30431,0.340644,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,408,606,0.402367,283,63,710,970,0.398592,0.0649485,6.13704,0.333643,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,408,606,0.402367,283,63,710,970,0.398592,0.0649485,6.13704,0.333643,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,383,631,0.377712,275,71,663,1017,0.414781,0.0698132,5.9413,0.344968,true
has_defs__AND__has_properties,has_defs,has_properties,731,283,0.720907,327,19,1266,414,0.258294,0.0458937,5.62809,0.2124,true
has_defs__AND__has_ref,has_defs,has_ref,731,283,0.720907,327,19,1266,414,0.258294,0.0458937,5.62809,0.2124,true
has_defs__AND__has_type,has_defs,has_type,731,283,0.720907,327,19,1266,414,0.258294,0.0458937,5.62809,0.2124,true
has_properties__AND__has_ref,has_properties,has_ref,731,283,0.720907,327,19,1266,414,0.258294,0.0458937,5.62809,0.2124,true
has_ref__AND__has_type,has_ref,has_type,731,283,0.720907,327,19,1266,414,0.258294,0.0458937,5.62809,0.2124,true
has_properties__AND__has_required,has_properties,has_required,807,207,0.795858,332,14,1367,313,0.242868,0.0447284,5.42983,0.198139,true
has_required__AND__has_type,has_required,has_type,807,207,0.795858,332,14,1367,313,0.242868,0.0447284,5.42983,0.198139,true
has_defs__AND__has_items,has_defs,has_items,539,475,0.531558,301,45,957,723,0.314525,0.0622407,5.05336,0.252284,true
has_items__AND__has_ref,has_items,has_ref,539,475,0.531558,301,45,957,723,0.314525,0.0622407,5.05336,0.252284,true
has_defs__AND__has_required,has_defs,has_required,636,378,0.627219,313,33,1110,570,0.281982,0.0578947,4.8706,0.224087,true
has_ref__AND__has_required,has_ref,has_required,636,378,0.627219,313,33,1110,570,0.281982,0.0578947,4.8706,0.224087,true
has_items__AND__has_required,has_items,has_required,537,477,0.529586,295,51,942,738,0.313163,0.0691057,4.53166,0.244058,true
has_items__AND__has_properties,has_items,has_properties,601,413,0.592702,304,42,1056,624,0.287879,0.0673077,4.27706,0.220571,true
has_items__AND__has_type,has_items,has_type,601,413,0.592702,304,42,1056,624,0.287879,0.0673077,4.27706,0.220571,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,69,945,0.0680473,40,306,115,1565,0.347826,0.195527,1.77891,0.152299,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,168,846,0.16568,56,290,288,1392,0.194444,0.208333,0.933333,-0.0138889,true
has_items__AND__has_oneOf,has_items,has_oneOf,184,830,0.18146,58,288,323,1357,0.179567,0.212233,0.846083,-0.0326663,true
has_oneOf__AND__has_required,has_oneOf,has_required,212,802,0.209073,58,288,362,1318,0.160221,0.218513,0.733234,-0.0582919,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,239,775,0.2357,58,288,400,1280,0.145,0.225,0.644444,-0.08,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,239,775,0.2357,58,288,400,1280,0.145,0.225,0.644444,-0.08,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,239,775,0.2357,58,288,400,1280,0.145,0.225,0.644444,-0.08,true
has_oneOf__AND__has_type,has_oneOf,has_type,239,775,0.2357,58,288,400,1280,0.145,0.225,0.644444,-0.08,true
has_properties__AND__has_type,has_properties,has_type,1010,4,0.996055,346,0,1676,4,0.206444,0,inf,0.206444,false
