schema_id,test_id,tokens_checked,num_tokens,rejection_ratio,first_rejected_token_index
Kubernetes---kb_1016_Normalized.json,Kubernetes---kb_1016_Normalized.json::test_00000,8,18,0.444444,7
Kubernetes---kb_1019_Normalized.json,Kubernetes---kb_1019_Normalized.json::test_00000,8,18,0.444444,7
Kubernetes---kb_101_Normalized.json,Kubernetes---kb_101_Normalized.json::test_00000,33,70,0.471429,32
Kubernetes---kb_1026_Normalized.json,Kubernetes---kb_1026_Normalized.json::test_00000,11,135,0.0814815,10
Kubernetes---kb_1026_Normalized.json,Kubernetes---kb_1026_Normalized.json::test_00006,18,91,0.197802,17
Kubernetes---kb_1027_Normalized.json,Kubernetes---kb_1027_Normalized.json::test_00000,11,137,0.080292,10
Kubernetes---kb_1027_Normalized.json,Kubernetes---kb_1027_Normalized.json::test_00004,59,146,0.40411,58
Kubernetes---kb_1028_Normalized.json,Kubernetes---kb_1028_Normalized.json::test_00000,54,119,0.453782,53
Kubernetes---kb_1029_Normalized.json,Kubernetes---kb_1029_Normalized.json::test_00000,11,131,0.0839695,10
Kubernetes---kb_1029_Normalized.json,Kubernetes---kb_1029_Normalized.json::test_00004,11,288,0.0381944,10
Kubernetes---kb_102_Normalized.json,Kubernetes---kb_102_Normalized.json::test_00000,33,65,0.507692,32
Kubernetes---kb_1030_Normalized.json,Kubernetes---kb_1030_Normalized.json::test_00000,11,171,0.0643275,10
Kubernetes---kb_1030_Normalized.json,Kubernetes---kb_1030_Normalized.json::test_00004,11,153,0.0718954,10
Kubernetes---kb_1031_Normalized.json,Kubernetes---kb_1031_Normalized.json::test_00000,104,112,0.928571,103
Kubernetes---kb_1041_Normalized.json,Kubernetes---kb_1041_Normalized.json::test_00000,11,124,0.0887097,10
Kubernetes---kb_1041_Normalized.json,Kubernetes---kb_1041_Normalized.json::test_00004,11,185,0.0594595,10
Kubernetes---kb_1042_Normalized.json,Kubernetes---kb_1042_Normalized.json::test_00000,11,180,0.0611111,10
Kubernetes---kb_105_Normalized.json,Kubernetes---kb_105_Normalized.json::test_00000,34,110,0.309091,33
Kubernetes---kb_105_Normalized.json,Kubernetes---kb_105_Normalized.json::test_00001,34,209,0.162679,33
Kubernetes---kb_1064_Normalized.json,Kubernetes---kb_1064_Normalized.json::test_00000,11,122,0.0901639,10
Kubernetes---kb_1064_Normalized.json,Kubernetes---kb_1064_Normalized.json::test_00003,11,125,0.088,10
Kubernetes---kb_106_Normalized.json,Kubernetes---kb_106_Normalized.json::test_00000,34,185,0.183784,33
Kubernetes---kb_106_Normalized.json,Kubernetes---kb_106_Normalized.json::test_00001,34,88,0.386364,33
Kubernetes---kb_1070_Normalized.json,Kubernetes---kb_1070_Normalized.json::test_00000,11,213,0.0516432,10
Kubernetes---kb_1070_Normalized.json,Kubernetes---kb_1070_Normalized.json::test_00004,11,115,0.0956522,10
Kubernetes---kb_1071_Normalized.json,Kubernetes---kb_1071_Normalized.json::test_00000,11,283,0.0388693,10
Kubernetes---kb_1071_Normalized.json,Kubernetes---kb_1071_Normalized.json::test_00006,11,204,0.0539216,10
Kubernetes---kb_1072_Normalized.json,Kubernetes---kb_1072_Normalized.json::test_00000,49,108,0.453704,48
Kubernetes---kb_1097_Normalized.json,Kubernetes---kb_1097_Normalized.json::test_00000,13,213,0.0610329,12
Kubernetes---kb_1097_Normalized.json,Kubernetes---kb_1097_Normalized.json::test_00002,13,161,0.0807453,12
Kubernetes---kb_1098_Normalized.json,Kubernetes---kb_1098_Normalized.json::test_00000,13,209,0.062201,12
Kubernetes---kb_1098_Normalized.json,Kubernetes---kb_1098_Normalized.json::test_00002,13,114,0.114035,12
Kubernetes---kb_1100_Normalized.json,Kubernetes---kb_1100_Normalized.json::test_00000,13,251,0.0517928,12
Kubernetes---kb_1101_Normalized.json,Kubernetes---kb_1101_Normalized.json::test_00000,13,260,0.05,12
Kubernetes---kb_1105_Normalized.json,Kubernetes---kb_1105_Normalized.json::test_00000,11,92,0.119565,10
Kubernetes---kb_1105_Normalized.json,Kubernetes---kb_1105_Normalized.json::test_00001,11,75,0.146667,10
Kubernetes---kb_1106_Normalized.json,Kubernetes---kb_1106_Normalized.json::test_00000,11,94,0.117021,10
Kubernetes---kb_1107_Normalized.json,Kubernetes---kb_1107_Normalized.json::test_00000,11,94,0.117021,10
Kubernetes---kb_1107_Normalized.json,Kubernetes---kb_1107_Normalized.json::test_00001,11,77,0.142857,10
Kubernetes---kb_1109_Normalized.json,Kubernetes---kb_1109_Normalized.json::test_00000,11,110,0.1,10
