characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,255,118,1067,0,0.027451,0,0.0192308,0
schema_json_chars,q2_mid_low,253,1073,2636,0,0.130435,0,0.0762125,0
schema_json_chars,q3_mid_high,252,2646,16944,0,0.265873,0,0.204846,0
schema_json_chars,q4_high,254,17061,158506,0,0.53937,0,0.496503,0
schema_file_bytes,q1_low,254,1195,4013,0,0.0314961,0,0.0232558,0
schema_file_bytes,q2_mid_low,253,4020,7943,0,0.0909091,0,0.0532407,0
schema_file_bytes,q3_mid_high,253,8010,28301,0,0.288538,0,0.2,0
schema_file_bytes,q4_high,254,28489,197603,0,0.551181,0,0.509217,0
nb_keywords,q1_low,264,3,13,0,0.0454545,0,0.032,0
nb_keywords,q2_mid_low,245,14,30,0,0.106122,0,0.0652174,0
nb_keywords,q3_mid_high,251,31,139,0,0.310757,0,0.230435,0
nb_keywords,q4_high,254,140,1547,0,0.503937,0,0.466357,0
nb_properties,q1_low,256,0,3,0,0.046875,0,0.038674,0
nb_properties,q2_mid_low,256,4,7,0,0.132812,0,0.0797267,0
nb_properties,q3_mid_high,256,8,41,0,0.285156,0,0.226782,0
nb_properties,q4_high,246,42,472,0,0.50813,0,0.461538,0
nb_required,q1_low,335,0,1,0,0.0895522,0,0.0613861,0
nb_required,q2_mid_low,193,2,2,0,0.0984456,0,0.0630631,0
nb_required,q3_mid_high,246,3,6,0,0.361789,0,0.299771,0
nb_required,q4_high,240,7,83,0,0.441667,0,0.402469,0
schema_depth,q1_low,460,0,4,0,0.0847826,0,0.058906,0
schema_depth,q2_mid_low,392,5,5,0,0.321429,0,0.254986,0
schema_depth,q3_mid_high,0,,,0,0,0,0,0
schema_depth,q4_high,162,6,6,0,0.487654,0,0.471698,0
nb_branches_combinators,q1_low,775,0,0,0,0.267097,0,0.225,0
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,239,2,4,0,0.154812,0,0.145,0
nb_enum_values,q1_low,764,0,0,0,0.116492,0,0.0805423,0
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,0,,,0,0,0,0,0
nb_enum_values,q4_high,250,1,48,0,0.62,0,0.575117,0
nb_regex,q1_low,1014,0,0,0,0.240631,0,0.205952,0
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,0,,,0,0,0,0,0
nb_regex,q4_high,0,,,0,0,0,0,0
n_tests,q1_low,322,1,3,0,0.173913,0,0.179138,0
n_tests,q2_mid_low,220,4,4,0,0.163636,0,0.136729,0
n_tests,q3_mid_high,324,5,6,0,0.283951,0,0.223752,0
n_tests,q4_high,148,7,11,0,0.405405,0,0.301754,0
mean_num_tokens,q1_low,254,5.5,29.8333,0,0.0433071,0,0.031339,0
mean_num_tokens,q2_mid_low,253,30,65.4,0,0.110672,0,0.0769231,0
mean_num_tokens,q3_mid_high,253,65.75,132,0,0.324111,0,0.260486,0
mean_num_tokens,q4_high,253,132.333,3533,0,0.486166,0,0.413483,0
