dataset_id,framework_id,schema_id,n_tests,n_valid_tests,n_invalid_tests,n_valid_completed,n_invalid_completed,n_completed,n_timeout,timeout_status,timeout_stage,timeout_elapsed_s,compile_grammar_s,validation_loop_mean_s,compute_mask_mean_s,commit_token_mean_s,schema_file_bytes,schema_json_chars,mean_instance_json_chars,mean_num_tokens,max_num_tokens,n_correct_accept,n_correct_reject,n_under_constraint,n_over_constraint,under_rate,over_rate,timeout_rate,coverage_rate,accuracy_completed,permissive_score,has_additionalProperties,has_allOf,has_anchor,has_anyOf,has_boolean_schema,has_const,has_contains,has_content,has_default,has_defs,has_dependentRequired,has_dependentSchemas,has_dynamicRef,has_enum,has_exclusiveMaximum,has_exclusiveMinimum,has_if_then_else,has_infinite_loop_detection,has_items,has_maxContains,has_maxItems,has_maxLength,has_maxProperties,has_maximum,has_minContains,has_minItems,has_minLength,has_minProperties,has_minimum,has_multipleOf,has_not,has_oneOf,has_pattern,has_patternProperties,has_prefixItems,has_properties,has_propertyNames,has_ref,has_required,has_type,has_unevaluatedItems,has_unevaluatedProperties,has_uniqueItems,nb_keywords,nb_properties,nb_required,schema_depth,nb_branches_combinators,nb_enum_values,nb_regex,large_enum,many_required,many_properties,deep_schema
Kubernetes,xgr,Kubernetes---kb_0_Normalized.json,3,2,1,2,1,3,0,completed,,,8.22803,0.020456,0.019735,0.000239,24836,12907,1167.67,310,313,2,1,0,0,0,0,0,1,1,0,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,127,27,10,5,0,0,0,false,true,true,false
Kubernetes,xgr,Kubernetes---kb_1000_Normalized.json,4,2,2,2,2,4,0,completed,,,1.1641,0.007772,0.007623,5.225e-05,3929,1130,151.75,51.75,57,2,2,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,18,5,2,4,0,0,0,false,false,false,false
Kubernetes,xgr,Kubernetes---kb_1001_Normalized.json,7,2,5,2,5,7,0,completed,,,1.26442,0.00653457,0.00640529,4.91429e-05,6220,1130,155.714,49.7143,53,2,5,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,18,5,2,4,0,0,0,false,false,false,false
Kubernetes,xgr,Kubernetes---kb_1002_Normalized.json,6,2,4,2,4,6,0,completed,,,1.13114,0.0039845,0.00388867,3.5e-05,5482,1130,146.833,49.1667,58,2,4,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,18,5,2,4,0,0,0,false,false,false,false
Kubernetes,xgr,Kubernetes---kb_1003_Normalized.json,4,2,2,2,2,4,0,completed,,,1.14284,0.006784,0.00661275,6.7e-05,3924,1130,144.25,49.5,52,2,2,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,18,5,2,4,0,0,0,false,false,false,false
Kubernetes,xgr,Kubernetes---kb_1008_Normalized.json,2,2,0,2,0,2,0,completed,,,69.415,0.0182685,0.0176385,0.0002735,191635,153666,541,153.5,158,2,0,0,0,0,0,0,1,1,0,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,1483,453,80,6,4,1,0,false,true,true,false
Kubernetes,xgr,Kubernetes---kb_100_Normalized.json,5,2,3,2,3,5,0,completed,,,1.20021,0.0038058,0.0037146,4.2e-05,3831,669,106.8,28.4,31,2,3,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,12,4,2,4,0,0,0,false,false,false,false
Kubernetes,xgr,Kubernetes---kb_1011_Normalized.json,2,2,0,2,0,2,0,completed,,,80.5446,0.01895,0.018289,0.000293,191614,153666,530.5,154,159,2,0,0,0,0,0,0,1,1,0,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,1483,453,80,6,4,1,0,false,true,true,false
Kubernetes,xgr,Kubernetes---kb_1012_Normalized.json,9,2,7,2,7,9,0,completed,,,4.00831,0.016672,0.0164053,0.000105667,16169,3365,422.889,137.556,182,2,7,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,50,14,3,4,0,0,0,false,false,true,false
Kubernetes,xgr,Kubernetes---kb_1015_Normalized.json,8,2,6,2,6,8,0,completed,,,3.4783,0.0229231,0.0225475,0.00013675,17406,3365,534.375,178.25,219,2,6,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,50,14,3,4,0,0,0,false,false,true,false
Kubernetes,xgr,Kubernetes---kb_1016_Normalized.json,5,2,3,2,3,5,0,completed,,,1.10584,0.0001996,0.0001704,9.8e-06,4100,1102,56,17.2,18,1,3,0,1,0,0.5,0,1,0.8,-0.5,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,14,3,0,4,0,0,0,false,false,false,false
Kubernetes,xgr,Kubernetes---kb_1019_Normalized.json,4,2,2,2,2,4,0,completed,,,1.2207,0.000294,0.00024875,1.5e-05,3478,1102,58.25,17.5,18,1,2,0,1,0,0.5,0,1,0.75,-0.5,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,14,3,0,4,0,0,0,false,false,false,false
Kubernetes,xgr,Kubernetes---kb_101_Normalized.json,8,2,6,2,6,8,0,completed,,,6.14023,0.00112475,0.0010155,3.9625e-05,26369,15430,288.125,78.5,95,1,6,0,1,0,0.5,0,1,0.875,-0.5,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,120,36,6,5,0,2,0,false,true,true,false
Kubernetes,xgr,Kubernetes---kb_1020_Normalized.json,10,2,8,2,8,10,0,completed,,,5.51654,0.001311,0.0011444,6.32e-05,23393,7682,546.4,158.6,164,2,8,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,66,21,0,5,0,2,0,false,false,true,false
Kubernetes,xgr,Kubernetes---kb_1021_Normalized.json,8,2,6,2,6,8,0,completed,,,4.94389,0.00195175,0.00175075,6.3625e-05,20851,7668,482.125,144.375,215,2,6,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,65,21,0,5,0,1,0,false,false,true,false
Kubernetes,xgr,Kubernetes---kb_1022_Normalized.json,5,2,3,2,3,5,0,completed,,,1.28924,0.0006502,0.0005834,2.56e-05,5645,974,101.4,26.4,32,2,3,0,0,0,0,0,1,1,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,9,3,0,4,0,0,0,false,false,false,false
