context_family,context_feature,context_value,support_invalid_tests,support_schemas,under_count,under_rate_invalid_only,baseline_under_rate_invalid_only,under_lift_invalid_only,low_support
combinators,allOf_satisfied_branch_count_bucket,0,2908,949,0,0,0,0,false
combinators,allOf_satisfied_branch_ratio,absent,2908,949,0,0,0,0,false
combinators,anyOf_satisfied_branch_count,0,2908,949,0,0,0,0,false
combinators,anyOf_satisfied_branch_count_bucket,0,2908,949,0,0,0,0,false
combinators,branches_conflicting_types,false,2908,949,0,0,0,0,false
combinators,branches_have_enum,false,2908,949,0,0,0,0,false
combinators,branches_have_not,false,2908,949,0,0,0,0,false
combinators,branches_have_properties,false,2908,949,0,0,0,0,false
combinators,branches_have_required,false,2908,949,0,0,0,0,false
combinators,branches_overlapping_properties,false,2908,949,0,0,0,0,false
combinators,combinator_branch_count_bucket,0,2536,755,0,0,0,0,false
combinators,combinator_branch_count_bucket,2,372,194,0,0,0,0,false
combinators,combinator_type,absent,2536,755,0,0,0,0,false
combinators,combinator_type,oneOf,372,194,0,0,0,0,false
combinators,oneOf_satisfied_branch_count,0,2908,949,0,0,0,0,false
combinators,oneOf_satisfied_branch_count_bucket,0,2908,949,0,0,0,0,false
not,instance_satisfies_not_subschema,unknown,2908,949,0,0,0,0,false
not,not_contains_const,false,2908,949,0,0,0,0,false
not,not_contains_enum,false,2908,949,0,0,0,0,false
not,not_contains_pattern,false,2908,949,0,0,0,0,false
not,not_contains_properties,false,2908,949,0,0,0,0,false
not,not_contains_required,false,2908,949,0,0,0,0,false
not,not_parent_keyword,absent,2908,949,0,0,0,0,false
not,not_target_type,absent,2908,949,0,0,0,0,false
numeric,numeric_boundary_case,not_applicable,2908,949,0,0,0,0,false
numeric,numeric_has_default,false,2908,949,0,0,0,0,false
numeric,numeric_has_min_and_max,false,2908,949,0,0,0,0,false
numeric,numeric_is_in_properties,false,2908,949,0,0,0,0,false
numeric,numeric_parent_keyword,absent,2908,949,0,0,0,0,false
numeric,numeric_property_required,false,2908,949,0,0,0,0,false
numeric,numeric_target_type,absent,2908,949,0,0,0,0,false
patternProperties,additionalProperties_value,absent,2908,949,0,0,0,0,false
patternProperties,instance_has_unmatched_keys,false,2805,941,0,0,0,0,false
patternProperties,instance_has_unmatched_keys,true,103,77,0,0,0,0,false
patternProperties,instance_matching_pattern_keys_count,0,2908,949,0,0,0,0,false
patternProperties,patternProperties_has_additionalProperties,false,2908,949,0,0,0,0,false
patternProperties,patternProperties_regex_has_alternation,false,2908,949,0,0,0,0,false
patternProperties,patternProperties_regex_has_anchor,false,2908,949,0,0,0,0,false
patternProperties,patternProperties_regex_has_charclass,false,2908,949,0,0,0,0,false
patternProperties,patternProperties_regex_has_dotstar,false,2908,949,0,0,0,0,false
patternProperties,patternProperties_with_properties,false,2908,949,0,0,0,0,false
